"","C1","H1","U1","M1","C2","H2","U2","M2","C3","H3","U3","M3"
"41",25.4995280989051,8.51994699694986,4.78104477375816,1.00646687207625,4.10552112416146,1.06421906937952,0.590802218951364,0.212638612580445,1.44994257800665,0.322520414598372,0.178765207816419,0.0823887875703099
"42",28.1533883698033,9.37514287416599,5.25785337855501,1.10965645034231,4.3333519125338,1.10969748272079,0.615270404906617,0.22525961480597,1.50670172368669,0.329036417317155,0.182156173768569,0.0862484259665594
"43",31.0702373341329,10.31426501493,5.78142689477092,1.22283963627795,4.56973863042959,1.1564411959811,0.640408360258378,0.23834186811458,1.56421120102283,0.33545411250216,0.185491294117693,0.090168331287102
"44",34.2759207824507,11.3455712610192,6.35637017537142,1.34699454163918,4.81492693284159,1.2044899292629,0.6662380647131,0.251897138704778,1.62246063436165,0.341775551889616,0.188772102541272,0.0941472401626298
"45",37.7988206736041,12.4781278259109,6.98773886076702,1.48319595723647,5.06916985849216,1.25388445469559,0.692782008158618,0.265937650783177,1.68143984201171,0.348002730187935,0.192000063887614,0.0981839417706824
"46",41.670102309927,13.7218877692001,7.68108318289807,1.63262482328507,5.33272803855406,1.30466662912158,0.720063212393134,0.280476092750225,1.74113882796407,0.354137585066993,0.195176577133993,0.102277274630517
"47",45.9239852717841,15.0877769471357,8.44249594694755,1.79657862411254,5.6058698975584,1.35687942595827,0.748105251880573,0.295525623579435,1.80154777443997,0.360181997615266,0.198302978414264,0.106426123591381
"48",50.5980403252696,16.587788121645,9.27866507306286,1.97648279583263,5.8888718675444,1.41056696954185,0.776932275729071,0.311099880017545,1.86265703514219,0.366137793156733,0.20138054405954,0.110629417007709
"49",55.7335147086828,18.2350839663304,10.1969311121392,2.17390324380348,6.18201861674022,1.46577457189738,0.806569030904273,0.327212984617431,1.92445712910858,0.372006742340516,0.204410493609294,0.11488612409371
"50",61.3756884087583,20.044109767316,11.2053501832897,2.39056007559429,6.4856032806666,1.52254877009801,0.83704088539229,0.343879554311607,1.98693873508324,0.377790562433287,0.207393992761161,0.119195252449131
"51",67.5742642567044,22.0307166793053,12.3127628160102,2.62834266483942,6.79992768595878,1.58093736246422,0.868373850365349,0.361114709026564,2.05009268633553,0.383490918758264,0.210332156236366,0.123555845747586
"52",74.3837949069943,24.2122964625838,13.5288692171429,2.88932617180502,7.12530262246382,1.64098945254125,0.900594606820236,0.378934082483571,2.11390996586848,0.389109426235837,0.213226050544518,0.127966981578661
"53",81.8641500083677,26.607928694588,14.8643115213719,3.17578965777693,7.46204807638234,1.70275548676061,0.93373052803168,0.397353831861498,2.17838170196773,0.394647650989948,0.216076696636859,0.132427769435034
"54",90.0810271361031,29.2385415195334,16.3307636238587,3.49023594254421,7.81049348867148,1.7662872960927,0.967809704212062,0.416390648709342,2.24349916405687,0.400107111988819,0.218885072437068,0.136937348838927
"55",99.1065103264159,32.127087070729,17.9410292343945,3.83541336733772,8.17097803059419,1.83163814034614,1.00286096852629,0.436061770831453,2.30925375879074,0.40548928271176,0.221652115267034,0.141494887584275
"56",109.019680336368,35.2987327716285,19.7091488335765,4.21433963962445,8.5438508786799,1.89886275229891,1.03891392273206,0.456384994468833,2.37563702653551,0.410795592744453,0.224378724055116,0.146099580165968
"57",119.907281043867,38.7810697920984,21.6505162523506,4.63032795118062,8.92947149921621,1.96801738320569,1.07599896342808,0.477378687131364,2.44264063758811,0.416027429570369,0.227065761717718,0.150750646110767
"58",131.864446699324,42.6043400041813,23.7820056359244,5.08701557688747,9.32820994154217,2.03915984957377,1.11414730884276,0.499061801056288,2.51025638922255,0.42118614005953,0.229714057026727,0.155447328697357
"59",144.9954950394,46.8016828447033,26.1221095904365,5.58839517871427,9.74044714004821,2.11234958119451,1.15339102616567,0.521453887279294,2.57847620261837,0.426273032034512,0.23232440653473,0.160188893644335
"60",159.414791569097,51.4094035477876,28.6910893444586,6.13884905735749,10.1665752251125,2.18764767044261,1.19376305943648,0.544575110322066,2.64729211982036,0.431289375845605,0.234897576461639,0.164974627834815
"61",175.247690604519,56.4672642554232,31.5111377856727,6.74318661295358,10.6069978432108,2.26511692288231,1.2352972580223,0.568446263499171,2.71669630099336,0.436236405854774,0.237434304391162,0.169803838190927
"62",192.631558936913,62.0187995446496,34.6065562537172,7.40668529610468,11.0621304864016,2.34482190920672,1.27802840570667,0.593088784845934,2.78668102177159,0.441115321872585,0.239935300877737,0.17467585061303
"63",211.716888218554,68.1116579207065,38.0039459805908,8.13513535104515,11.5324008313656,2.42682901853424,1.32199225041114,0.618524773668671,2.85723867072451,0.445927290545676,0.242401250956853,0.179590008990814
"64",232.668502369942,74.7979708106349,41.732415066887,8.93488867397719,12.0182490889155,2.51120651319381,1.36722553462207,0.644777007765408,2.92836174693552,0.450673446694905,0.244832815563407,0.184545674282416
"65",255.666866449737,82.1347505440153,45.8238018615727,9.81291213120486,12.5201283629576,2.59802458485506,1.41376602646544,0.671868961240855,3.00004285768034,0.455354894599631,0.247230632861305,0.189542223656192
"66",280.909503494614,90.1843187180421,50.3129155702963,10.7768457034148,13.0385050200627,2.68735541216947,1.4616525515154,0.699824822982085,3.07227471620033,0.459972709230442,0.249595319490255,0.194579049690866
"67",308.612525802335,99.0147662025178,55.2377948466619,11.8350658439225,13.5738590699809,2.77927321997258,1.51092502536998,0.728669515806806,3.14505013956375,0.464527937430506,0.251927471734409,0.199655559629743
"68",339.012286969815,108.700445834231,60.639985015808,12.9967544594552,14.1266845571184,2.87385434005089,1.5616244870045,0.758428716276162,3.21836204660854,0.469021599046119,0.254227666617305,0.204771174685146
"69",372.367160675093,119.32249856497,66.5648344320689,14.271973941482,14.6974899632679,2.9711772735181,1.61379313293193,0.789128875182562,3.29220345596191,0.473454688007902,0.256496462927764,0.209925329389364
"70",408.9594516683,130.96941344608,73.0618102731835,15.671748693491,15.2867986219399,3.07132275485205,1.66747435220209,0.82079723872702,3.36656748413142,0.477828173363842,0.258734402180958,0.215117470988768
"71",449.097443664312,143.737621335009,80.1848338115345,17.2081536140016,15.8951491447389,3.17437381765801,1.72271276227853,0.853461870406628,3.44144734366343,0.482143000265643,0.260942009518699,0.220347058877938
"72",493.11758787644,157.732121580647,87.992634872105,18.8944100154923,16.5230958596227,3.28041586213702,1.77955424578908,0.887151673595633,3.51683634136169,0.486400090911536,0.263119794554203,0.225613564070041
"73",541.38683475819,173.067140274536,96.549124830977,20.7449894664457,17.1712092621972,3.38953672442633,1.83804598823884,0.921896414884016,3.59272787658259,0.490600345436679,0.265268252155758,0.230916468706513
"74",594.305106678838,189.866816887196,105.923786533989,22.7757258981824,17.8400764798058,3.50182674777916,1.89823651667513,0.957726748153328,3.66911543953173,0.494744642789964,0.267387863205134,0.236255265583294
